Link,Image,Name,Release date,Weight,OS,Storage,Screen_size,Screen_resolution,RAM,Battery,Camera,Price,net2g,net3g,net4g,year,status,dimensions,weight,build,sim,bodyother,displaytype,displaysize,displayresolution,displayprotection,displayother,os,chipset,cpu,gpu,memoryslot,internalmemory,memoryother,,cam1features,cam1video,cam2modules,cam2features,cam2video,wlan,bluetooth,gps,nfc,radio,usb,sensors,featuresother,batdescription1,colors
https://www.gsmarena.com/google_pixel_4-9896.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg,Google Pixel 4,"Released 2019, October 22","162g, 8.2mm thickness","Android 10, up to Android 13","64GB/128GB storage, no card slot","5.7""",1080x2280 pixels,6 GB RAM,2800 mAh Li-Po,"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","20,225",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global","2019, October 15","Available. Released 2019, October 22",147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in),162 g (5.71 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM and eSIM,IP68 dust/water resistant (up to 1.5m for 30 min),"P-OLED, 90Hz, HDR","5.7 inches, 80.7 cm(~79.8% screen-to-body ratio)","1080 x 2280 pixels, 19:9 ratio (~444 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 10, upgradable to Android 13",Qualcomm SM8150 Snapdragon 855 (7 nm),Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,No,"64GB 6GB RAM, 128GB 6GB RAM",UFS 2.1,,"Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","8 MP, f/2.0, 22mm (wide), 1.22µm, no AF",Auto-HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 3.1,"Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Po 2800 mAh, non-removable","Clearly White, Just Black, Oh So Orange","G020M, G020I, GA01188-US, GA01187-US, GA01189-US, GA01191-US, GA01189-US"
https://www.gsmarena.com/google_pixel_3a_xl-9690.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl-.jpg,Google Pixel 3a XL,"Released 2019, May 15","167g, 8.2mm thickness","Android 9.0, up to Android 12","64GB storage, no card slot","6.0""",1080x2160 pixels,4 GB RAM,3700 mAh Li-Po,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","15,999",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 20, 25, 26, 28, 29, 30, 38, 40, 41, 66, 71","2019, May 07","Available. Released 2019, May 15",160.1 x 76.1 x 8.2 mm (6.30 x 3.00 x 0.32 in),167 g (5.89 oz),"Glass front (Asahi Dragontrail), plastic back, plastic frame",Nano-SIM and eSIM,OLED,"6.0 inches, 92.9 cm(~76.3% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",Asahi Dragontrail Glass,Always-on display,"Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,No,64GB 4GB RAM,eMMC 5.1,,,"Dual-LED flash, Pixel Shift, HDR, panorama","4K@30fps, 1080p@30/60/120fps","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3700 mAh, non-removable","Just Black, Clearly White, Purple-ish","G020C, G020G, G020F"
https://www.gsmarena.com/google_pixel_3a-9408.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg,Google Pixel 3a,"Released 2019, May 15","147g, 8.2mm thickness","Android 9.0, up to Android 12","64GB storage, no card slot","5.6""",1080x2220 pixels,4 GB RAM,3000 mAh Li-Po,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","15,999",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66, 71","2019, May 07","Available. Released 2019, May 15",151.3 x 70.1 x 8.2 mm (5.96 x 2.76 x 0.32 in),147 g (5.19 oz),"Glass front (Asahi Dragontrail), plastic back, plastic frame",Nano-SIM and eSIM,OLED,"5.6 inches, 79.6 cm(~75.0% screen-to-body ratio)","1080 x 2220 pixels, 18.5:9 ratio (~441 ppi density)",Asahi Dragontrail Glass,Always-on display,"Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM670 Snapdragon 670 (10 nm),Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,No,64GB 4GB RAM,eMMC 5.1,,,"Dual-LED flash, Pixel Shift, HDR, panorama","4K@30fps, 1080p@30/60/120fps","8 MP, f/2.0, 24mm (wide), 1/4"", 1.12µm",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.0, A2DP, LE, aptX HD","GPS, GLONASS, GALILEO",Yes,No,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3000 mAh, non-removable","Just Black, Clearly White, Purple-ish","G020A, G020E, G020B"
https://www.gsmarena.com/google_pixel_3_xl-9257.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg,Google Pixel 3 XL,"Released 2018, October 18","184g, 7.9mm thickness","Android 9.0, up to Android 12","64GB/128GB storage, no card slot","6.3""",1440x2960 pixels,4 GB RAM,3430 mAh Li-Po,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","23,999",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71","2018, October 09","Available. Released 2018, October 18",158 x 76.7 x 7.9 mm (6.22 x 3.02 x 0.31 in),184 g (6.49 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM and eSIM,IP68 dust/water resistant (up to 1.5m for 30 min),"P-OLED, HDR","6.3 inches, 100.3 cm(~82.8% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~523 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 128GB 4GB RAM",UFS 2.1,,"Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","8 MP, f/1.8, 28mm (wide), PDAF",Auto-HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 3.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 3430 mAh, non-removable","Clearly White, Just Black, Not Pink",About 260 EUR
https://www.gsmarena.com/google_pixel_3-9256.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg,Google Pixel 3,"Released 2018, October 18","148g, 7.9mm thickness","Android 9.0, up to Android 12","64GB/128GB storage, no card slot","5.5""",1080x2160 pixels,4 GB RAM,2915 mAh Li-Po,"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS","16,999",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71","2018, October 09","Available. Released 2018, October 18",145.6 x 68.2 x 7.9 mm (5.73 x 2.69 x 0.31 in),148 g (5.22 oz),"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame",Nano-SIM and eSIM,IP68 dust/water resistant (up to 1.5m for 30 min),"P-OLED, HDR","5.5 inches, 76.7 cm(~77.2% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~443 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 9.0 (Pie), upgradable to Android 12",Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver),Adreno 630,No,"64GB 4GB RAM, 128GB 4GB RAM",UFS 2.1,,"Dual-LED flash, Pixel Shift, Auto-HDR, panorama","4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)","8 MP, f/1.8, 28mm (wide), PDAF",Auto-HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 3.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Po 2915 mAh, non-removable","Clearly White, Just Black, Not Pink",About 450 EUR
https://www.gsmarena.com/google_pixel_2-8733.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg,Google Pixel 2,"Released 2017, October 17","143g, 7.8mm thickness","Android 8.0, up to Android 11","64GB/128GB storage, no card slot","5.0""",1080x1920 pixels,4 GB RAM,2700 mAh Li-Ion,"12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","14,490",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 29, 30, 32, 38, 40, 41, 66","2017, October 04","Available. Released 2017, October 17",145.7 x 69.7 x 7.8 mm (5.74 x 2.74 x 0.31 in),143 g (5.04 oz),"Glass front (Gorilla Glass 5), aluminum/glass back, aluminum frame",Nano-SIM and eSIM,IP67 dust/water resistant (up to 1m for 30 min),AMOLED,"5.0 inches, 68.9 cm(~67.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 8.0 (Oreo), upgradable to Android 11",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 4GB RAM, 128GB 4GB RAM",UFS 2.1,,"Dual-LED flash, HDR, panorama","4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","8 MP, f/2.4, 27mm (wide), 1/3.2"", 1.4µm",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 3.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 2700 mAh, non-removable","Kinda Blue, Just Black, Clearly White",About 610 EUR
https://www.gsmarena.com/google_pixel_2_xl-8720.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg,Google Pixel 2 XL,"Released 2017, October 17","175g, 7.9mm thickness","Android 8.0, up to Android 11","64GB/128GB storage, no card slot","6.0""",1440x2880 pixels,4 GB RAM,3520 mAh Li-Ion,"12.2 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, OIS","19,990",GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 29, 30, 32, 38, 40, 41, 66","2017, October 04","Available. Released 2017, October 17",157.9 x 76.7 x 7.9 mm (6.22 x 3.02 x 0.31 in),175 g (6.17 oz),"Glass front (Gorilla Glass 5), aluminum/glass back, aluminum frame",Nano-SIM and eSIM,IP67 dust/water resistant (up to 1m for 30 min),P-OLED,"6.0 inches, 92.6 cm(~76.4% screen-to-body ratio)","1440 x 2880 pixels, 18:9 ratio (~538 ppi density)",Corning Gorilla Glass 5,Always-on display,"Android 8.0 (Oreo), upgradable to Android 11",Qualcomm MSM8998 Snapdragon 835 (10 nm),Octa-core (4x2.35 GHz Kryo & 4x1.9 GHz Kryo),Adreno 540,No,"64GB 4GB RAM, 128GB 4GB RAM",UFS 2.1,,"Dual-LED flash, HDR, panorama","4K@30fps (gyro-EIS), 1080p@30/60/120fps (gyro-EIS), 720p@240fps (gyro-EIS)","8 MP, f/2.4, 25mm (wide), 1/3.2"", 1.4µm",HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","5.0, A2DP, LE, aptX HD","GPS, GLONASS, BDS, GALILEO",Yes,No,USB Type-C 3.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 3520 mAh, non-removable","Just Black, Black & White",About 520 EUR
https://www.gsmarena.com/google_pixel_xl-8345.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg,Google Pixel XL,"Released 2016, October 20","168g, 8.5mm thickness","Android 7.1, up to Android 10","32GB/128GB storage, no card slot","5.5""",1440x2560 pixels,4 GB RAM,3450 mAh Li-Ion,"12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","6,999",GSM 850 / 900 / 1800 / 1900,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 21, 26, 28, 32, 38, 39, 40, 41","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps or LTE-A (3CA) Cat11 600/75 Mbps","2016, October 04. Released 2016, October 20",Discontinued,154.7 x 75.7 x 8.5 mm (6.09 x 2.98 x 0.33 in),168 g (5.93 oz),"Glass front (Gorilla Glass 4), aluminum/glass back, aluminum frame",Nano-SIM,Water-repellent coating,AMOLED,"5.5 inches, 83.4 cm(~71.2% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Corning Gorilla Glass 4,"Android 7.1 (Nougat), upgradable to Android 10",Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,"32GB 4GB RAM, 128GB 4GB RAM",UFS 2.0,,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps","8 MP, f/2.4, 1/3.2"", 1.4µm",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP, LE, aptX","GPS, GLONASS",Yes,No,USB Type-C 3.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 3450 mAh, non-removable",Up to 552 h (3G),Up to 32 h (3G),Up to 130 h
https://www.gsmarena.com/google_pixel-8346.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel.jpg,Google Pixel,"Released 2016, October 20","143g, 8.5mm thickness","Android 7.1, up to Android 10","32GB/128GB storage, no card slot","5.0""",1080x1920 pixels,4 GB RAM,2770 mAh Li-Ion,"12.3 MP, f/2.0, 1/2.3"", 1.55µm, PDAF, Laser AF","9,999",GSM 850 / 900 / 1800 / 1900,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 21, 26, 28, 32, 38, 39, 40, 41","2016, October 04. Released 2016, October 20",Discontinued,143.8 x 69.5 x 8.5 mm (5.66 x 2.74 x 0.33 in),143 g (5.04 oz),"Glass front (Gorilla Glass 4), aluminum/glass back, aluminum frame",Nano-SIM,Water-repellent coating,AMOLED,"5.0 inches, 68.9 cm(~69.0% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Corning Gorilla Glass 4,"Android 7.1 (Nougat), upgradable to Android 10",Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,No,"32GB 4GB RAM, 128GB 4GB RAM",UFS 2.0,,,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60/120fps, 1080p@30fps (gyro-EIS), 720p@240fps","8 MP, f/2.4, 1/3.2"", 1.4µm",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA","4.2, A2DP, LE, aptX","GPS, GLONASS",Yes,No,USB Type-C 3.0,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer","Li-Ion 2770 mAh, non-removable",Up to 456 h (3G),Up to 26 h (3G),Up to 110 h
https://www.gsmarena.com/google_pixel_c-7826.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-c--.jpg,Google Pixel C,"Released 2015, December 08","517g, 7mm thickness","Android 6.0.1, up to Android 8.0","32GB/64GB storage, no card slot","10.2""",2560x1800 pixels,3 GB RAM,9240 mAh Li-Po,"8 MP, f/2.4","30,000",N/A,No,No,"2015, September 29. Released 2015, December 08",Discontinued,242 x 179 x 7 mm (9.53 x 7.05 x 0.28 in),517 g (1.14 lb),No,IPS LCD,"10.2 inches, 313.8 cm(~72.4% screen-to-body ratio)",2560 x 1800 pixels (~308 ppi density),"Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)",Nvidia Tegra X1,Quad-core 1.9 GHz,Nvidia Maxwell,No,"32GB 3GB RAM, 64GB 3GB RAM","8 MP, f/2.4",1080p@30fps,2 MP,,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct",,,No,No,USB Type-C 3.0,"Accelerometer, gyro, proximity, compass","Li-Po 9240 mAh, non-removable (34.2 Wh)",Silver Aluminum,About 340 EUR,,,,,,,
